storeId,city,state,province,pincode
Store 2,Houston,Texas,British Columbia,01002
Store 3,Los Angeles,Tempe,Ontario,01003
Store 4,Phoenix,Texas,Manitoba,01004
Store 6,Chicago,Mussori,Manitoba,01006
Store 7,Los Angeles,Texas,Ontario,01007
Store 8,New York,Tempe,Quebec,01008
Store 9,Houston,Illinois,Ontario,01009
Store 10,Los Angeles,California,Manitoba,10010
Store 11,New York,Arizona,Manitoba,10011
Store 12,Chicago,Arizona,Quebec,10012
Store 13,Chicago,Arizona,Quebec,10013
Store 14,Chicago,California,Manitoba,10014
Store 15,New York,Arizona,Quebec,10015
Store 16,Houston,New York,British Columbia,10016
Store 17,Houston,Texas,Manitoba,10017
Store 18,Chicago,Mussori,Quebec,10018
Store 19,Phoenix,Mussori,Ontario,10019
Store 20,New York,Arizona,Manitoba,10020
Store 21,Phoenix,California,Ontario,10021
Store 22,New York,California,Alberta,10022
Store 23,Phoenix,Mussori,Alberta,10023
Store 24,Chicago,Texas,Ontario,10024
Store 25,Phoenix,Texas,British Columbia,10025
Store 26,Los Angeles,Mussori,British Columbia,10026
Store 27,Houston,Texas,Ontario,10027
Store 28,Chicago,California,Quebec,10028
Store 29,New York,California,Alberta,10029
Store 30,Los Angeles,California,Quebec,10030
Store 31,Houston,New York,Ontario,10031
Store 32,Los Angeles,Tempe,Manitoba,10032
Store 33,Houston,Texas,British Columbia,10033
Store 34,New York,New York,Quebec,10034
Store 35,New York,Texas,Alberta,10035
Store 36,Houston,Mussori,British Columbia,10036
Store 37,New York,New York,Ontario,10037
Store 38,Los Angeles,Illinois,British Columbia,10038
Store 39,Phoenix,Mussori,British Columbia,10039
Store 40,New York,New York,Manitoba,10040
Store 41,Chicago,Mussori,Ontario,10041
Store 42,Phoenix,Texas,Alberta,10042
Store 43,Chicago,Mussori,British Columbia,10043
Store 44,Chicago,New York,Alberta,10044
Store 45,Phoenix,Illinois,Manitoba,10045
Store 46,Los Angeles,Illinois,Alberta,10046
Store 47,New York,Illinois,Alberta,10047
Store 48,Chicago,California,British Columbia,10048
Store 49,New York,California,Ontario,10049
Store 50,Los Angeles,Mussori,Manitoba,10050
Store 51,Chicago,Illinois,British Columbia,10051
Store 52,Phoenix,New York,Ontario,10052
Store 53,Houston,Texas,Ontario,10053
Store 54,Los Angeles,Mussori,Ontario,10054
Store 55,Houston,Tempe,Manitoba,10055
Store 56,New York,Illinois,Alberta,10056
Store 57,Chicago,Arizona,Manitoba,10057
Store 58,Houston,California,British Columbia,10058
Store 59,Houston,Texas,Alberta,10059
Store 60,Los Angeles,Tempe,Manitoba,10060
Store 61,Chicago,New York,Alberta,10061
Store 62,Los Angeles,Arizona,British Columbia,10062
Store 63,New York,Texas,Alberta,10063
Store 64,Chicago,Mussori,Alberta,10064
Store 65,Phoenix,New York,Ontario,10065
Store 66,Houston,California,Quebec,10066
Store 67,New York,Texas,Quebec,10067
Store 68,New York,Mussori,British Columbia,10068
Store 69,Los Angeles,Illinois,Quebec,10069
Store 70,Chicago,Arizona,Ontario,10070
Store 71,Chicago,Illinois,Ontario,10071
Store 72,Houston,California,Quebec,10072
Store 73,Houston,Mussori,Ontario,10073
Store 74,Los Angeles,California,Manitoba,10074
Store 75,New York,Arizona,Manitoba,10075
Store 76,New York,Arizona,Ontario,10076
Store 77,Los Angeles,Illinois,Ontario,10077
Store 78,New York,California,British Columbia,10078
Store 79,Phoenix,New York,Manitoba,10079
Store 80,Chicago,Illinois,Quebec,10080
Store 81,Chicago,Arizona,Alberta,10081
Store 82,Chicago,Illinois,Alberta,10082
Store 83,Los Angeles,Arizona,Quebec,10083
Store 84,Los Angeles,Mussori,British Columbia,10084
Store 85,Phoenix,California,Ontario,10085
Store 86,Houston,New York,Quebec,10086
Store 87,New York,Illinois,Quebec,10087
Store 88,Chicago,Illinois,Alberta,10088
Store 89,New York,Mussori,British Columbia,10089
Store 90,New York,Arizona,British Columbia,10090
Store 91,Houston,Texas,British Columbia,10091
Store 92,Chicago,Texas,Quebec,10092
Store 93,Houston,Arizona,Manitoba,10093
Store 94,Phoenix,Texas,British Columbia,10094
Store 95,Houston,New York,Quebec,10095
Store 96,Houston,Tempe,Alberta,10096
Store 97,New York,New York,British Columbia,10097
Store 98,Houston,Tempe,British Columbia,10098
Store 99,Houston,California,Quebec,10099
Store 100,New York,California,Manitoba,00100
Store 101,Los Angeles,Arizona,Ontario,00101
Store 102,Los Angeles,Arizona,Manitoba,00102
Store 103,Phoenix,Arizona,Quebec,00103
Store 104,Phoenix,Tempe,Ontario,00104
Store 105,Houston,Tempe,Alberta,00105
Store 106,Chicago,Tempe,Ontario,00106
Store 107,Los Angeles,Mussori,Manitoba,00107
Store 108,Chicago,Illinois,Alberta,00108
Store 109,New York,Illinois,Manitoba,00109
Store 110,Houston,Illinois,Alberta,00110
Store 111,New York,Tempe,Alberta,00111
Store 112,Phoenix,California,Ontario,00112
Store 113,Los Angeles,Arizona,Manitoba,00113
Store 114,New York,Texas,Manitoba,00114
Store 115,Los Angeles,Tempe,British Columbia,00115
Store 116,Houston,California,British Columbia,00116
Store 117,Los Angeles,Tempe,Ontario,00117
Store 118,Phoenix,New York,Manitoba,00118
Store 119,New York,Illinois,British Columbia,00119
Store 120,Los Angeles,Mussori,Ontario,00120
Store 121,Houston,New York,British Columbia,00121
Store 122,Houston,Tempe,Manitoba,00122
Store 123,Houston,Illinois,Alberta,00123
Store 124,Phoenix,Texas,Manitoba,00124
Store 125,Los Angeles,Mussori,Quebec,00125
Store 126,Houston,Illinois,Quebec,00126
Store 127,Houston,New York,Manitoba,00127
Store 128,Chicago,Mussori,Quebec,00128
Store 129,Phoenix,Arizona,Alberta,00129
Store 130,Los Angeles,Arizona,Manitoba,00130
Store 131,Los Angeles,Arizona,Manitoba,00131
Store 132,Houston,New York,Alberta,00132
Store 133,Phoenix,Mussori,Manitoba,00133
Store 134,New York,New York,Quebec,00134
Store 135,Chicago,Arizona,Ontario,00135
Store 136,Phoenix,Texas,Ontario,00136
Store 137,Phoenix,New York,British Columbia,00137
Store 138,Los Angeles,Mussori,Alberta,00138
Store 139,Los Angeles,Illinois,Alberta,00139
Store 140,Chicago,Illinois,Alberta,00140
Store 141,Los Angeles,Texas,Ontario,00141
Store 142,Phoenix,New York,Manitoba,00142
Store 143,Phoenix,Illinois,Alberta,00143
Store 144,Chicago,Texas,Quebec,00144
Store 145,Los Angeles,Illinois,Ontario,00145
Store 146,New York,Texas,Ontario,00146
Store 147,Houston,Illinois,British Columbia,00147
Store 148,Los Angeles,Tempe,British Columbia,00148
Store 149,Houston,Mussori,Quebec,00149
Store 150,Los Angeles,Arizona,British Columbia,00150
Store 151,Chicago,Illinois,British Columbia,00151
Store 152,Chicago,Texas,Manitoba,00152
Store 153,Houston,Mussori,Quebec,00153
Store 154,Los Angeles,Texas,Ontario,00154
Store 155,New York,Illinois,Alberta,00155
Store 156,New York,Illinois,Ontario,00156
Store 157,New York,Tempe,British Columbia,00157
Store 158,Los Angeles,Texas,Ontario,00158
Store 159,New York,Tempe,Manitoba,00159
Store 160,Phoenix,Texas,British Columbia,00160
Store 161,New York,Illinois,British Columbia,00161
Store 162,Houston,Arizona,Manitoba,00162
Store 163,Chicago,Texas,Manitoba,00163
Store 164,Chicago,Mussori,Manitoba,00164
Store 165,Chicago,New York,British Columbia,00165
Store 166,Houston,New York,Ontario,00166
Store 167,Chicago,Arizona,Alberta,00167
Store 168,Houston,Texas,Ontario,00168
Store 169,Houston,Arizona,Quebec,00169
