storeId,city,state,province,pincode
Store 1,Houston,California,Alberta,01001
Store 2,Los Angeles,California,Ontario,01002
Store 3,Chicago,Texas,Quebec,01003
Store 4,Houston,Mussori,Manitoba,01004
Store 5,Chicago,Arizona,Quebec,01005
Store 6,Phoenix,Mussori,British Columbia,01006
Store 7,New York,Tempe,Ontario,01007
Store 8,Houston,Mussori,British Columbia,01008
Store 9,Los Angeles,Arizona,Alberta,01009
Store 10,Los Angeles,Texas,Quebec,10010
Store 11,Los Angeles,Arizona,Alberta,10011
Store 12,Los Angeles,Tempe,Ontario,10012
Store 13,Chicago,Texas,Ontario,10013
Store 14,Los Angeles,Mussori,Quebec,10014
Store 15,Chicago,Tempe,Manitoba,10015
Store 16,New York,Illinois,Quebec,10016
Store 17,Los Angeles,California,Alberta,10017
Store 18,New York,Mussori,Quebec,10018
Store 19,Phoenix,Illinois,Quebec,10019
Store 20,Chicago,Tempe,British Columbia,10020
Store 21,New York,Mussori,Ontario,10021
Store 22,New York,Mussori,Alberta,10022
Store 23,Chicago,New York,Quebec,10023
Store 24,Chicago,Arizona,Ontario,10024
Store 25,Phoenix,Tempe,British Columbia,10025
Store 26,Phoenix,Mussori,British Columbia,10026
Store 27,Phoenix,Texas,British Columbia,10027
Store 28,Phoenix,Mussori,Manitoba,10028
Store 29,New York,Texas,Manitoba,10029
Store 30,New York,Tempe,Quebec,10030
Store 31,New York,Mussori,British Columbia,10031
Store 32,Los Angeles,Mussori,British Columbia,10032
Store 33,Houston,New York,British Columbia,10033
Store 34,Phoenix,Illinois,Ontario,10034
Store 35,Los Angeles,New York,British Columbia,10035
Store 36,New York,Texas,Alberta,10036
Store 37,Los Angeles,Arizona,Manitoba,10037
Store 38,Los Angeles,Mussori,Quebec,10038
Store 39,Phoenix,Arizona,British Columbia,10039
Store 40,New York,Mussori,Quebec,10040
Store 41,Los Angeles,Mussori,Quebec,10041
Store 42,Los Angeles,Texas,Alberta,10042
Store 43,Houston,Tempe,British Columbia,10043
Store 44,Chicago,Illinois,Ontario,10044
Store 45,Chicago,Tempe,British Columbia,10045
Store 46,Los Angeles,Mussori,British Columbia,10046
Store 47,New York,Mussori,Ontario,10047
Store 48,New York,Mussori,Ontario,10048
Store 49,Houston,Mussori,British Columbia,10049
Store 50,Los Angeles,Illinois,Ontario,10050
Store 51,New York,Arizona,Manitoba,10051
Store 52,Phoenix,Texas,Ontario,10052
